user_email,user_first_name,user_surname,account_status,listing_status,subscription_type,company_name,company_legal_business_name,company_doing_business_as,company_companies_house_registration_number,company_vat_number,company_business_industry,company_country,company_website_url,company_amazon_url,company_ebay_url,business_representative_full_legal_name,business_representative_email,business_representative_job_title,business_representative_date_of_birth,business_representative_address_line_1,business_representative_address_line_2,business_representative_address_city,business_representative_address_county,business_representative_address_country,business_representative_address_postal_code,business_representative_address_phone_number,business_address_line_1,business_address_line_2,business_address_city,business_address_county,business_address_country,business_address_postal_code,business_address_phone_number,return_address_line_1,return_address_line_2,return_address_city,return_address_county,return_address_country,return_address_postal_code,return_address_phone_number,invoice_address_line_1,invoice_address_line_2,invoice_address_city,invoice_address_county,invoice_address_country,invoice_address_postal_code,invoice_address_phone_number
arhum1231@gmail.com,arhum,ali,Pending,Active,month_12,Kim Joseph Trading,Hill and Strong LLC,Fields and Armstrong Traders,99123456,,Joyner Mcguire Co,United Kingdom,,,,Stephen Hyde,vigiduqi@mailinator.com,Ut voluptatem incidi,8/8/2002,"27 perivale business park, horsenden lane south, horsenden lane south, horsenden lane south, horsenden lane south, horsenden lane south, horsenden lane south, horsenden lane south, horsenden lane south, horsenden lane south, horsenden lane south, horsenden lane south, horsenden lane south, horsenden lane south",horsenden lane south,"Perivale,Greenford",,United Kingdom,UB6 7RH,4.41E+11,"27 perivale business park, horsenden lane south, horsenden lane south, horsenden lane south, horsenden lane south, horsenden lane south, horsenden lane south, horsenden lane south, horsenden lane south, horsenden lane south, horsenden lane south, horsenden lane south, horsenden lane south, horsenden lane south",horsenden lane south,"Perivale,Greenford",,United Kingdom,UB6 7RH,4.41E+11,27 perivale business park,horsenden lane south,"Perivale,Greenford",Middlesex,United Kingdom,UB6 7RH,4.41E+11,,,,,,,
arhum1232@gmail.com,arhujm,ali,Active,Active,month_12,Sed et esse ad cupi,Sed et esse ad cupi,Sed et esse ad cupi,AZ123456,,Sed et esse ad cupi,United Kingdom,,,,asd,arhumali9633702@gmail.com,asda,12/2/2003,27 perivale business park,horsenden lane south,"Perivale,Greenford",,United Kingdom,UB6 7RH,4.41E+11,27 perivale business park,horsenden lane south,"Perivale,Greenford",,United Kingdom,UB6 7RH,4.41E+11,,,,,,,,,,,,,,
arhum1234@gmail.com,arhum,,Suspended,Active,month_12,Monster Group (UK),Monster Group (UK),Monster Group (UK),AX123456,Monster Group (UK),Monster Group (UK),United Kingdom,Monster Group (UK),Monster Group (UK),Monster Group (UK),Monster Group (UK),alex.davis@monstergroupuk.co.uk,Monster Group (UK),12/1/2003,Monster House,Alan Farnaby Way,Sheriff Hutton,York,United Kingdom,YO60 6PG,7544779442,Monster House,Alan Farnaby Way,Sheriff Hutton,York,United Kingdom,YO60 6PG,7544779442,,,,,,,,,,,,,,
zee@mailinator.com,zee,,Suspended,Inactive,month_12,Asisten,Asisten,Asisten,AX123456,Asisten,Asisten,United Kingdom,,,,zee,zee@mailinator.com,qa,12/2/2003,house#12,house#12,aaa,,United Kingdom,AB12 3CD,4413456789,house#12,house#12,aaa,United Kingdom,United Kingdom,AB12 3CD,4444442311,WESFS,sdsfsdf,afsdf,sdgsdg,United Kingdom,AB12 3CD,4444442311,WESFS,sdsfsdf,afsdf,sdgsdg,United Kingdom,AB12 3CD,4444442311
usamaakramcp@gmail.com,usama,akram,Active,Active,month_24,Ellison Hogan Traders,Thomas Gentry Co,Rogers Rocha Trading,AB123456,,Lewis Norman Inc,United Kingdom,google.com,google.com,google.com,Hyatt Alston,zuhi@mailinator.com,Error natus est dese,2/8/1991,196 White Nobel Avenue,Sit autem eos conse,Nulla veniam iste h,,United Kingdom,AS1 1AS,123123123,19 East Rocky Nobel Court,Obcaecati doloremque,Iusto et sapiente si,,United Kingdom,AS1 1AS,123123123,20 Nobel Freeway,In aut dolore sit de,Ut ex alias et labor,Sapiente at quod fug,United Kingdom,AS1 1AS,123123123,38 Hague Street,Aliqua Earum id est,Assumenda qui do nat,Illum omnis praesen,United Kingdom,AS1 1AS,4.47E+11
talha.waseem@phaedrasolutions.com,Talha,Waseem,Active,Active,month_24,phaedra,phaedra,phaedra,AB123456,,phaedra,United Kingdom,production.yavolo.com,production.yavolo.com,production.yavolo.com,Talha,test@business.com,Dev,3/8/2001,Canal View,sss,Lahore,,United Kingdom,AA9A 9AA,4456777869,Canal View,sklslk,Lahore,,United Kingdom,AA9A 9AA,4456889765,Canal View,sklkdlkdlk,Lahore,Ontario,United Kingdom,AA9A 9AA,4456545689,Canal View,JJJJK,Lahore,Ontario,United Kingdom,AA9A 9AA,4.48E+11
zoya@mailinator.com,zoya,,Active,Active,month_24,1234556,Sara,Sara,AB123456,mnmnskjnjksdjakshdkjahsdkjshdiye892y861287e61e87,Sara,United Kingdom,www.hgjhgjhg,www.fhgfhg,www.ghgjfjgghd,zoya,zoya@mailinator.com,qa,10/11/2003,house#12,house#12,aaa,aaa,United Kingdom,AB12 3CD,4413456789,WESFS,sdsfsdf,afsdf,sdgsdg,United Kingdom,AB12 3CD,4444442311,WESFS,sdsfsdf,afsdf,sdgsdg,United Kingdom,AB12 3CD,4444442311,WESFS,sdsfsdf,afsdf,sdgsdg,United Kingdom,AB12 3CD,4444442311
ambershahz@gmail.com,Amber,Shah,Active,Active,month_12,ABC,ABC,ABC,AB123456,,ABC,United Kingdom,https://thecard.com.pk/,https://thecard.amazon/,https://thecard.com.pk/,sefcjgh,ambershahz@gmail.com,jh,11/7/1965,156 j block dha phase 1,1234 hh,LAHORE,HJH,United Kingdom,92,3184188894,123 gh,street760,LAHORE,28364,United Kingdom,92,3184188894,dhf,jh,fj,hf,United States,jhf,f,kjgj,jg,g,hg,United Kingdom,hg,g
yumna@mailinator.com,yumna,khan,Suspended,Inactive,month_12,Asisten,qa,qa,AX123456,qa,qa,United Kingdom,www.hgjhgjhg,www.fhgfhg,www.ghgjfjgghd,yumna,yumna@mailinator.com,qa,10/11/2003,house#12,house#12,aaa,aaa,United Kingdom,AB12 3CD,4444231176,WESFS,sdsfsdf,afsdf,United Kingdom,United Kingdom,AB12 3CD,4.44E+12,WESFS,sdsfsdf,afsdf,sdgsdg,United Kingdom,AB12 3CD,4444442311,WESFS,sdsfsdf,afsdf,sdgsdg,United Kingdom,AB12 3CD,4444442311
saira@mailinator.com,saira,saira,Rejected,Active,month_36,Douglas Terrell Associates,Chandler and House Inc,Castaneda Carrillo Associates,AB123456,,Park Rush Associates,United Kingdom,google.com,google.com,google.com,Lacy Shepherd,qaqonucave@mailinator.com,Ut nihil ut sint ei,8/2/1998,361 New Street,Ut in non maiores ut,Voluptatem qui dolor,Ut veniam laborum l,United Kingdom,AS1 1SA,123123123,52 Clarendon Parkway,Voluptate qui suscip,Sit est quos et offi,Iusto sed qui sit t,United Kingdom,AS1 1SA,123123123,52 Clarendon Parkway,Voluptate qui suscip,Sit est quos et offi,Iusto sed qui sit t,United Kingdom,AS1 1SA,123123123,52 Clarendon Parkway,Voluptate qui suscip,Sit est quos et offi,Iusto sed qui sit t,United Kingdom,AS1 1SA,123123123
